ImageNumber,ObjectNumber,Children_Cells_COL1A2_Count,Children_Cells_COL1A2andFOXP3_Count,Children_Cells_COL1A2andPDGFRA_Count,Children_Cells_CXCL12_Count,Children_Cells_CXCL12andPDGFRA_Count,Children_Cells_CXCL12andPDGFRAandFOXP3_Count,Children_Cells_FOXP3_Count,Children_Cells_FOXP3andCXCL12_Count,Children_Cells_FOXP3andPDGFRA_Count,Children_Cells_PDGFRA_Count,Children_Cytoplasm_Count,Children_Expression_COL1A2_Count,Children_Expression_CXCL12_Count,Children_Expression_FOXP3_Count,Children_Expression_PDGFRA_Count,Children_Extracellular_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_Expression_COL1A2_Distance_Centroid_Cells,Mean_Expression_COL1A2_Distance_Centroid_Extracellular,Mean_Expression_COL1A2_Distance_Minimum_Cells,Mean_Expression_COL1A2_Distance_Minimum_Extracellular,Mean_Expression_COL1A2_Location_Center_X,Mean_Expression_COL1A2_Location_Center_Y,Mean_Expression_COL1A2_Location_Center_Z,Mean_Expression_COL1A2_Number_Object_Number,Mean_Expression_CXCL12_Distance_Centroid_Cells,Mean_Expression_CXCL12_Distance_Centroid_Extracellular,Mean_Expression_CXCL12_Distance_Minimum_Cells,Mean_Expression_CXCL12_Distance_Minimum_Extracellular,Mean_Expression_CXCL12_Location_Center_X,Mean_Expression_CXCL12_Location_Center_Y,Mean_Expression_CXCL12_Location_Center_Z,Mean_Expression_CXCL12_Number_Object_Number,Mean_Expression_FOXP3_Distance_Centroid_Cells,Mean_Expression_FOXP3_Distance_Centroid_Extracellular,Mean_Expression_FOXP3_Distance_Minimum_Cells,Mean_Expression_FOXP3_Distance_Minimum_Extracellular,Mean_Expression_FOXP3_Location_Center_X,Mean_Expression_FOXP3_Location_Center_Y,Mean_Expression_FOXP3_Location_Center_Z,Mean_Expression_FOXP3_Number_Object_Number,Mean_Expression_PDGFRA_Distance_Centroid_Cells,Mean_Expression_PDGFRA_Distance_Centroid_Extracellular,Mean_Expression_PDGFRA_Distance_Minimum_Cells,Mean_Expression_PDGFRA_Distance_Minimum_Extracellular,Mean_Expression_PDGFRA_Location_Center_X,Mean_Expression_PDGFRA_Location_Center_Y,Mean_Expression_PDGFRA_Location_Center_Z,Mean_Expression_PDGFRA_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,848.7270014917951,17.03878667329687,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,14
1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,616.0033936651583,20.154223227752638,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,15
1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,332.25563909774434,13.741854636591478,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,16
1,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1489.2034445640475,15.894510226049515,0,18.81473865789121,18.299886487448383,0.0,0.0,1507.0,22.0,0.0,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17,17
1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1408.73576309795,26.06742596810934,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,18
1,19,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,971.7781801720236,22.357627885921232,0,22.39786162011935,nan,6.764468962167758,nan,989.652296150021,10.643175542086475,0.0,36.09090909090909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,19
1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1363.5287592440427,35.08627773212818,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,20
1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1660.7312280701753,22.959298245614036,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21,21
1,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,928.8466850828729,22.4792817679558,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22,22
1,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1077.2877067791112,29.027246188777166,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23,23
1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,179.2131704005431,37.10794297352342,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,24
1,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,712.4915640674875,29.494756041951664,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,25
1,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30.368145302130632,35.281872162067764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26,26
1,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1468.9755538579068,31.95798319327731,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27,27
1,28,1,0,0,0,0,0,0,0,0,0,1,27,0,0,0,1,1605.7347242921014,30.165921510183804,0,20.371257692867104,nan,5.005783506654168,nan,1602.4236436916992,11.967370900704234,0.0,41.18518518518518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,28
1,29,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1288.5443613041155,29.634954569748796,0,33.73541732907273,nan,10.722207905932201,nan,1268.0307692307692,3.073076923076923,0.0,11.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29,29
